"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country"
"87","9958554945403338","9788075930460","2019","Zweig, Stefan","cze","Amerigo & Magalhães","Amerigo : die Geschichte eines historischen Irrtums ; Magellan : der Mann und seine Tat","Praha","XA-CZ"
"92","9958887047003338","9786082435268","2022","Kafka, Franz","mac","Amerika","<<Der>> Verschollene","Skopje","XA-MK"
"96","9958555060703338","9781784875626","2019","Kafka, Franz","eng","Amerika","fail","London","XA-GB"
"103","990048816800603392","9789523303089","2016","Salten, Felix","fin","Amerikka viidessä minuutissa","Fünf Minuten Amerika","Helsinki","XA-FI"
"104","9958570779503338","9789660384927","2019","Kafka, Franz","ukr","Ameryka","<<Der>> Verschollene","Charkiv","XA-UA"
"105","990049202130603392","9782070467594","2016","Zweig, Stefan","fre","Amok","<<Der>> Amokläufer","Paris","XA-FR"
"113","990050727050603392","9788374703499","2017","Zweig, Stefan","pol","Amok","Amok","Toruń","XA-PL"
"120","9958585874903338","9788491825296","2019","Nöstlinger, Christine","spa","Ana está furiosa","Anna und die Wut","Boadilla del Monre (España)","XA-ES"
"123","9958987608503338","9786192620233","2023","Schnitzler, Arthur","bul","Anatol x 3","Anatol","Sofija","XA-BG"
"126","990038053830603392","9782916928159","2011","Petz, Georg","fre","L' anatomie du parasite","<<Die>>Anatomie des Parasitären","Nancy","XA-FR"
"128","990047366590603392","9788799468331","2013","Bernhard, Thomas","dan","Åndedraettet","<<Der>> Atem","[Frederiksberg]","XA-DK"
"130","990039176090603392","9788025217689","2011","Brezina, Thomas","cze","Andělé milují prostě jinak","Wilde Wahnsinnsengel: Engel lachen einfach anders","Praha","XA-CZ"
"131","990043062620603392","9788025220146","2012","Brezina, Thomas","cze","Andělé pláčou jedině potají","Wilde Wahnsinnsengel: Engel weinen höchstens heimlich","Praha","XA-CZ"
"132","990039176080603392","9788025214923","2010","Brezina, Thomas","cze","Andělé se smějí čím dál vic","Wilde Wahnsinnsengel: Engel lachen immer länger","Praha","XA-CZ"
"133","9958564356103338","9789532603385 (Disput)","2019","Haderlap, Maja","hrv","Anđeo zaborava","Engel des Vergessens","Zagreb","XA-HR"
"134","9958912729503338","9783832182144","2022","Rishøi, Ingvild Hedemann","ger","Andere Sterne","Stargate. En julefortelling","Köln","XA-DE"
"135","990047405160603392","9783940357526","2015","Gorey, Edward","ger","Der andere Zoo","<<The>> utter zoo","Düsseldorf","XA-DE-NW"
"146","9958585078603338","9789542829843","2019","Dinev, Dimitré","bul","Angelski ezici","Engelszungen","Sofija","XA-BG"
"147","990049588160603392","9785998502385","2011","Kafka, Franz","rus","Angely ne letajut","fail","Sankt-Peterburg","XA-RU"
"149","990044504570603392","9782070453726","2013","Zweig, Stefan","fre","Angoisses","Angst","Paris","XA-FR"
"153","990049777990603392","9789933164935","2016","Luhn, Usch","ara","Ānī taʿaṯṯur ʿalā muhr saġīr","Anni findet ein Pony","Dubai","XB-AE"
"155","9958849249003338","9785604409381","2020","Nöstlinger, Christine","rus","Anja serditsja","Anna und die Wut","Moskva","XA-RU"
"156","990049151670603392","9788081030833","2015","Brezina, Thomas","slo","Anjeli sa vždy smejú dlhšie","Engel lachen immer länger","Senica","XA-SK"
"159","9958522780503338","9788074332135","2018","Saathen, Friedrich Hans","cze","Anna Nahowská","Anna Nahowski und Kaiser Franz Joseph","[Líbeznice]","XA-CZ"
"166","990016385430603392","0720613310","2010","Roth, Joseph","eng","The antichrist","<<Der>> Antichrist","London [u.a.]","XA-GB"
"167","9958798579403338","9786190300298","2021","Köhlmeier, Michael","bul","Antični legendi","<<Das>> große Sagenbuch des klassischen Altertums","Sofija","XA-BG"
"174","990046352900603392","9788883750267","2014","Zöller, Elisabeth","ita","Anton ovvero il tempo della vita senza valore","Anton oder die Zeit des unwerten Lebens","Cornaredo (MI)","XA-IT"
"180","990057718560603392","9791091896450","2016","Kraus, Karl","fre","Aphorismes","fail","Paris","XA-FR"
