"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country"
"3271","990045162630603392","9788791407857","2013","Bernhard, Thomas","dan","Traefaeldning","Holzfällen","[København]","XA-DK"
"3272","9958545361103338","9788375155044","2019","Seethaler, Robert","pol","Trafikant","<<Der>> Trafikant","Kraków","XA-PL"
"3273","9958887047203338","9786084852421","2021","Seethaler, Robert","mac","Trafikant","<<Der>> Trafikant","Skopje","XA-MK"
"3274","9958764559303338","9788680830247","2019","Seethaler, Robert","srp","Trafikant","<<Der>> Trafikant","Beograd","XA-RS"
"3275","9958602672903338","9789633554593","2018","Seethaler, Robert","hun","A trafikos","<<Der>> Trafikant","Budapest","XA-HU"
"3276","990045667430603392","9788677200770","2011","Ibbotson, Eva","srp","Tragom džinovskog lenjivca","Journey to the River Sea","Beograd","XA-SP"
"3277","990047037080603392","9789198036145","2013","Barylli, Gabriel","swe","Tramezzini eller en dag i Venedig","Butterbrot","Umeå","XA-SE"
"3278","990017630320603392","9781564785657","2010","Bäcker, Heimrad","eng","Transcript","Nachschrift","Champaign, Ill. [u.a.]","XD-US"
"3279","990049796410603392","9788490627709","2015","Kafka, Franz","spa","La transformación","<<Die>> Verwandlung","[Barcelona]","XA-ES"
"3280","9958573665903338","9788494613609","2016","Kafka, Franz","spa","La transformación","<<Die>> Verwandlung","Girona, España","XA-ES"
"3281","9958816565303338","9788418218644","2020","Kafka, Franz","spa","La transformación","<<Die>> Verwandlung","Barcelona","XA-ES"
"3282","990039071450603392","9788499190693","2010","Kafka, Franz","spa","La transformación","<<Die>> Verwandlung","Alcalá de Guadaíra (Sevilla)","XA-ES"
"3283","990043693850603392","9788420609317","2012","Bernhard, Thomas","spa","Trastorno","Verstörung","Madrid","XA-ES"
"3284","990046341600603392","9789549655537","2012","Andrić, Ivo","bul","Travniška chronika","Travnička hronika","Sofija","XA-BG"
"3285","9958545563403338","9788279592563","2017","Musil, Robert","nno","Tre kvinner","Drei Frauen","[Leikanger]","XA-NO"
"3286","9958497154103338","9789532668933","2017","Kehlmann, Daniel","hrv","Trebao si otići","Du hättest gehen sollen","Zaprešić","XA-HR"
